,2014_CUMULATIVE_SCORE,2013_CUMULATIVE_SCORE,2012_CUMULATIVE_SCORE,2011_CUMULATIVE_SCORE,2010_CUMULATIVE_SCORE,2009_CUMULATIVE_SCORE,2008_CUMULATIVE_SCORE,2007_CUMULATIVE_SCORE,2006_CUMULATIVE_SCORE,2005_CUMULATIVE_SCORE,2004_CUMULATIVE_SCORE
Baseball,290577,286237,283393,282961,283050,279566,273903,264495,260469,251714,250079
Football,239539,233559,232171,227947,226240,225616,221233,217748,214854,211177,210102
Men's Basketball,337456,333145,330788,326118,326136,324658,318622,309219,304528,298318,297530
Men's Golf,287798,282136,281887,278599,273271,269956,261869,259534,257522,243529,239609
Men's Tennis,244634,241541,241225,237996,235066,232614,226324,219384,218288,216713,211610
"Men's Track, Indoor",248933,236162,239284,235958,236653,236500,225054,218816,213333,207423,203918
"Men's Track, Outdoor",267675,262224,261506,256615,257570,256262,249926,244212,237523,227514,220019
Women's Basketball,341055,334798,333614,331758,331102,329822,323533,318026,313480,306032,305283
Women's Bowling,29849,31234,29075,28007,24112,23052,22298,19951,19782,18499,15646
Women's Cross Country,334019,326409,325683,327612,328051,316237,312048,309339,305674,291788,290088
Women's Soccer,324391,316076,314714,313178,312395,309321,303430,298019,291745,281095,279231
Women's Softball,287602,283603,280139,279285,278856,275678,268602,261181,254655,245699,245748
Women's Tennis,309210,306012,305938,297022,296065,298029,287228,278493,278937,269129,274934
"Women's Track, Indoor",313201,302685,303303,299495,299206,297193,286718,280905,276527,271593,268461
"Women's Track, Outdoor",325348,315989,314567,308744,308297,305263,297693,295144,289962,278228,273745
Women's Volleyball,328231,322540,321161,318519,318400,317521,310596,304368,299121,293043,292353
Men's Soccer,197939,193827,192710,190762,191389,189012,185786,180943,177461,172368,172439
Women's Golf,256674,251844,245260,240229,239472,232681,223650,209443,206411,196561,191422
Men's Ice Hockey,58172,58097,57038,56872,56865,56770,56749,56226,55933,55186,54101
Men's Cross Country,280336,273449,273909,278552,278862,273050,266314,259960,257823,243599,244374
Men's Swimming,126812,123582,126772,125283,123918,124007,120422,119360,114205,112130,112046
Women's Gymnastics,60495,60576,60214,60230,60407,60284,60213,60048,59807,58792,58827
Women's Rowing,81677,80492,78178,77063,78111,78016,74908,72823,69430,68872,68295
Women's Swimming,192827,189055,189163,188551,186991,185299,175993,175673,171267,169337,167024
Mixed Rifle,20411,19530,18096,18301,18213,18308,17039,17778,18051,16136,14928
Men's Wrestling,74621,71079,72119,71531,71762,70559,72058,69649,68370,63788,64287
Women's Water Polo,30551,31709,30341,29388,29166,30309,30338,29766,26643,24690,25939
Men's Volleyball,21749,20593,20395,20431,20548,20420,19305,19338,17906,17040,16704
Women's Lacrosse,101988,98609,90842,88725,86322,84541,79856,75494,74314,70978,68779
Men's Water Polo,20734,20485,20476,20506,20560,19329,19308,18115,17923,17156,16010
Men's Gymnastics,12661,12660,13537,14654,14668,13585,14849,13651,14463,13591,13485
Women's Field Hockey,77103,75706,75940,75009,75042,74016,72836,72321,71238,70286,69046
Men's Skiing,10931,10746,10780,9669,10757,9588,10626,10664,10634,10554,9615
Women's Skiing,11802,11897,11867,11774,11927,11830,10540,11981,11507,10557,10665
Men's Lacrosse,64436,60100,57954,57595,55531,54450,52323,51186,51098,51242,47772
Men's Fencing,15502,15594,14565,15477,14153,15453,14317,14285,14464,13327,11066
Women's Fencing,18287,17378,17421,16190,15181,13938,15189,17228,16409,16065,16288
Women's Ice Hockey,34724,33551,32423,32389,32492,32397,31244,31050,29857,24507,25526
